"sku","img_url"
"T273","photos/products/T273_1.jpg"
"T274","photos/products/T274_1.jpg"
"T275","photos/products/T275_1.jpg"
"T276","photos/products/T276_1.jpg"
"T277","photos/products/T277_1.jpg"
"T278","photos/products/T278_1.jpg"
"T280","photos/products/T280_1.jpg"
"T281","photos/products/T281_1.jpg"
"T282","photos/products/T282_1.jpg"
"T283","photos/products/T283_1.jpg"
"T284","photos/products/T284_1.jpg"
"T279","photos/products/T279_1.JPG"
"P239","photos/products/P239_1.jpg"
"P240","photos/products/P240_1.jpg"
"P241","photos/products/P241_1.jpg"
"P242","photos/products/P242_1.jpg"
"P243","photos/products/P243_1.jpg"
"P244","photos/products/P244_1.jpg"
"S216","photos/products/S216_1.jpg"
"T285","photos/products/T285_1.jpg"
"T286","photos/products/T286_1.jpg"
"T287","photos/products/T287_1.jpg"
"T288","photos/products/T288_1.jpg"
"A005","photos/products/A005_1.jpg"
