,x,sku,sim
149,T102,T253,0.3967848784716074
150,T102,T261,0.39877437887163747
151,T102,T260,0.20869823431536336
152,T102,T258,0.25585210339260755
153,T102,T252,0.37024069104613117
154,T102,T269,0.2800175700821412
155,T102,T268,0.2657801609856821
156,T102,T267,0.12378686959089065
157,T102,T259,0.5827937302492381
158,T102,T256,0.33013057650601346
159,T102,T265,0.27842061126487583
160,T102,T264,0.37342090340679435
161,T102,T278,0.3340062613339036
162,T102,T280,0.30540278591255793
163,T102,T282,0.4605563337361811
164,T102,T283,0.20003975509266822
165,T102,T284,0.37463525208817894
166,T102,T281,0.37334025091969586
167,T102,T277,0.05743819359894644
168,T102,T273,0.11759237300585262
169,T102,T279,0.2663104549172441
170,T102,T276,0.33068446486779096
171,T102,T275,0.39893644088481983
172,T102,T285,0.12399292904900877
173,T102,T286,0.6138641467906127
174,T102,T288,0.12277283374882149
175,T102,T287,0.39734105799885294
176,T106,T42,0.349563948184725
177,T106,T102,0.6201255707501314
178,T106,T79,0.18983281698225413
179,T106,T103,0.3987768437519552
180,T106,T75,0.20338097327885984
181,T106,T105,0.21704010362211054
182,T106,T107,0.527246387236206
183,T106,T76,0.39626602000842565
184,T106,T80,0.265317719139287
185,T106,T73,0.2415921309041587
186,T106,T71,0.12401585936244366
187,T106,T22,0.11374143997377115
188,T106,T10,0.3988274744687649
189,T106,T14,0.35079513761931536
190,T106,T40,0.22246767998189296
191,T106,T44,0.11325067307130375
192,T106,T45,0.23174815333704762
193,T106,T69,0.11508860231215749
194,T106,T70,0.11458290568095666
195,T106,T47,0.39798365778279543
196,T106,T3,0.46473471421152796
197,T106,T19,0.6186879479670223
198,T106,T41,0.24752685092450905
199,T106,T9,0.3678856228173231
200,T106,T7,0.22802132861666172
201,T106,T6,0.3741073876294921
202,T106,T77,0.23110049543885694
203,T106,T68,0.24473743807648576
204,T106,T55,0.372274791724272
205,T106,T54,0.2486966360543585
206,T106,T4,0.5303268930793518
207,T106,T203,0.35088456405445606
208,T106,T274,0.3532203892175607
209,T106,T201,0.23422665716008004
210,T106,T211,0.40825411052996535
211,T106,T212,0.28412933053055694
212,T106,T213,0.6238014394819206
213,T106,T205,0.39993771730714284
